date.time	NTU
43148.63547	0.073
43148.63548	0.081
43148.6355	0.081
43148.63551	0.088
43148.63552	0.066
43148.63553	0.088
43148.64593	0.073
43148.64595	0.066
43148.64596	0.081
43148.64597	0.051
43148.64598	0.059
43148.65629	0.059
43148.65631	0.066
43148.65632	0.073
43148.65633	0.066
43148.65634	0.073
43148.65635	0.081
43148.65636	0.081
43148.66678	0.081
43148.66679	0.081
43148.6668	0.088
43148.66681	0.073
43148.67712	0.073
43148.67714	0.066
43148.67715	0.073
43148.67716	0.066
43148.67717	0.103
43148.67718	0.073
43148.6772	0.066
43148.67721	0.081
43148.67722	0.066
43148.67723	0.066
43148.68762	0.073
43148.68764	0.073
43148.68765	0.081
43148.69796	0.066
43148.69797	0.073
43148.69798	0.059
43148.698	0.081
43148.69801	0.081
43148.69802	0.095
43148.69803	0.066
43148.69804	0.088
43148.69805	0.066
43148.70847	0.073
43148.70848	0.051
43148.71879	0.096
43148.71881	0.088
43148.71882	0.066
43148.71883	0.088
43148.71884	0.088
43148.71885	0.081
43148.71886	0.096
43148.71887	0.051
43148.71889	0.066
43148.73966	0.088
43148.73967	0.059
43148.73968	0.066
43148.7397	0.081
43148.73971	0.088
43148.73972	0.066
43148.73973	0.088
43148.75004	0.066
43148.75006	0.074
43148.75007	0.081
43148.75008	0.081
43148.7501	0.051
43148.76048	0.059
43148.7605	0.074
43148.76051	0.059
43148.76052	0.044
43148.76053	0.066
43148.76054	0.081
43148.76055	0.066
43148.76056	0.074
43148.77087	0.074
43148.77089	0.052
43148.7709	0.081
43148.77091	0.088
43148.78133	0.066
43148.78134	0.052
43148.78135	0.081
43148.78136	0.066
43148.78137	0.059
43148.78139	0.074
43148.7814	0.066
43148.79171	0.052
43148.79172	0.074
43148.79173	0.066
43148.79175	0.081
43148.79176	0.066
43148.79177	0.066
43148.79178	0.081
43148.79179	0.088
43148.7918	0.066
43148.79181	0.074
43148.80212	0.052
43148.80214	0.052
43148.80216	0.059
43148.80217	0.052
43148.80218	0.074
43148.8022	0.103
43148.80221	0.066
43148.80222	0.052
43148.80223	0.059
43148.81254	0.059
43148.81256	0.066
43148.81257	0.074
43148.81258	0.103
43148.81259	0.088
43148.82301	0.103
43148.82302	0.074
43148.82303	0.066
43148.82304	0.066
43148.82305	0.088
43148.82306	0.096
43148.83337	0.066
43148.83339	0.096
43148.8334	0.081
43148.83341	0.066
43148.83342	0.081
43148.83345	0.066
43148.84384	0.088
43148.84385	0.066
43148.84386	0.074
43148.84387	0.074
43148.84389	0.096
43148.8439	0.066
43148.85421	0.066
43148.85422	0.059
43148.85423	0.059
43148.85425	0.044
43148.85426	0.066
43148.85427	0.059
43148.85428	0.074
43148.86468	0.052
