date.time	ntu	max.spectra	sum.irr
43424.30218	1.958	8.973	51.41
43424.30219	1.926	14.001	81.775
43424.3022	1.942	13.942	81.109
43424.30222	1.95	15.368	89.335
43424.30223	1.926	16.259	94.184
43424.31254	1.924	15.291	89.195
43424.31255	1.924	14.678	85.185
43424.31256	1.948	18.415	106.622
43424.31258	2.036	22.745	132.17
43424.31259	1.802	14.69	84.671
43424.3126	1.924	21.1	122.919
43424.31261	1.754	21.505	124.761
43424.31262	1.875	21.633	125.938
43424.31263	1.859	20.484	118.57
43424.31264	1.842	20.193	116.946
43424.32296	3.917	20.248	117.243
43424.32297	4.052	21.072	121.742
43424.32298	4.407	19.518	113.678
43424.32299	4.35	20.457	118.632
43424.323	4.31	48.046	285.871
43424.32301	4.294	39.253	225.401
43424.32303	4.197	38.403	219.673
43424.32304	4.334	35.433	202.756
43424.32305	4.068	33.149	190.086
43424.32306	4.487	35.205	201.466
43424.33337	0.44	34.554	197.613
43424.33339	0.456	32.542	187.086
43424.3334	0.464	32.55	186.157
43424.33341	0.48	13.386	76.585
43424.33342	0.464	13.375	76.426
43424.33343	0.472	13.342	76.276
43424.33344	0.464	13.025	74.459
43424.33345	0.448	13.453	76.825
43424.33347	0.464	13.378	76.536
43424.33348	0.472	13.315	76.137
43424.34379	0.166	13.264	75.807
43424.3438	0.158	13.55	77.281
43424.34381	0.142	8.204	38.938
43424.34383	0.158	7.605	37.069
43424.34384	0.174	6.781	31.952
43424.34385	0.166	8.249	41.71
43424.34386	0.166	8.023	38.299
43424.34387	0.198	8.183	41.112
43424.34388	0.135	6.89	34.359
43424.34389	0.15	8.152	40.994
43424.35421	0.016	8.37	40.742
43424.35422	0.055	21.068	104.132
43424.35423	0.023	17.033	87.139
43424.35424	0.031	21.152	106.578
43424.35426	0.031	16.724	85.222
43424.35426	0.023	20.823	99.448
43424.35428	0.047	19.667	105.753
43424.35429	0.031	17.624	94.218
43424.3543	0.008	19.415	102.062
43424.35431	0.039	17.425	90.997
43424.36462	0.031	6.686	32.967
43424.36464	0.024	11.069	58.61
43424.36465	0.008	8.521	46.219
43424.36466	0.031	7.833	39.546
43424.36467	0.024	7.353	38.867
43424.36468	0	9.092	49.215
43424.36469	0.024	6.726	34.923
43424.3647	0.016	8.613	45.597
43424.36472	0.039	8.807	47.294
43424.36473	0.016	16.787	79.984
43424.37504	0.016	15.819	72.775
43424.37505	-0.016	14.661	69.979
43424.37506	-0.016	16.1	74.886
43424.37508	0.016	15.213	71.46
43424.37509	0.016	16.589	77.974
43424.3751	0.024	15.968	76.386
43424.37511	0.008	15.183	72.434
43424.37512	0.024	14.914	70.997
43424.37513	0.008	8.659	40.966
43424.37514	0.016	8.774	42.224
43424.38546	0.476	9.233	44.244
43424.38547	0.429	9.424	45.163
43424.38548	1.342	9.48	45.223
43424.38549	2.358	9.392	44.872
43424.3855	1.135	9.424	45.925
43424.38551	3.668	9.595	45.739
43424.38553	1.429	9.436	44.2
43424.38554	1.048	11.179	52.534
43424.38555	2.366	11.912	57.821
43424.38556	9.781	12.988	62.283
43424.39587	0.056	11.5	54.006
43424.39589	0.032	11.6	56.928
43424.3959	0.016	11.688	56.057
43424.39591	0.04	11.801	57.177
43424.39592	0.016	11.639	56.355
43424.39593	0.032	11.549	56.096
43424.39594	0.048	39.107	188.876
43424.39595	0.024	38.832	194.844
43424.39597	0.032	34.307	171.433
43424.39598	0.032	54.235	249.667
43424.40629	0.607	49.736	215.556
43424.4063	0.679	36.325	175.301
43424.40631	0.807	30.898	143.351
43424.40633	0.839	34.879	169.435
43424.40634	0.567	44.823	183.939
43424.40635	0.743	104.18	500.946
43424.40636	0.879	83.37	419.339
43424.40637	0.671	86.928	434.401
43424.40638	1.054	91.829	358.599
43424.40639	0.687	94.665	456.32
43424.41671	0.737	94.142	405.086
43424.41672	0.513	95.396	470.102
43424.41673	0.665	153.19	690.112
43424.41674	0.569	83.397	422.133
43424.41675	0.641	94.303	393.722
43424.41676	0.745	84.73	410.595
43424.41678	0.705	114.875	545.75
43424.41679	0.681	91.823	458.671
43424.4168	0.561	89.527	460.159
43424.41681	0.625	124.462	595.889
43424.42712	0.761	514.133	885.09
43424.42714	0.753	84.748	418.965
43424.42715	0.681	98.046	494.935
43424.42716	0.801	121.716	610.035
43424.42717	0.721	86.478	444.362
43424.42718	0.761	81.004	390.962
43424.42719	0.962	84.159	406.799
43424.4272	0.817	83.595	420.288
43424.42722	0.777	102.119	516.252
43424.42723	0.817	82.717	423.456
43424.43754	1.852	122.759	608.756
43424.43755	2.429	93.477	399.171
43424.43756	1.299	83.257	358.472
43424.43758	1.211	99.695	497.169
43424.43759	1.715	95.779	466.32
43424.4376	1.915	86.901	374.976
43424.43761	3.278	84.501	435.944
43424.43762	2.356	78.491	402.303
43424.43763	3.398	109.464	496.884
43424.43764	2.26	91.024	432.361
43424.44796	0.738	71.657	341.619
43424.44797	0.665	107.106	489.858
43424.44798	0.994	113.392	539.799
43424.44799	0.793	88.835	447.259
43424.448	0.761	92.487	448.933
43424.44801	0.753	75.64	382.43
43424.44803	0.809	86.43	428.929
43424.44804	0.729	92.116	444.472
43424.44805	0.825	88.42	365.904
43424.44806	0.753	73.159	356.372
43424.45837	0.938	84.967	437.621
43424.45839	1.491	86.182	391.944
43424.4584	0.858	119.343	580.148
43424.45841	0.825	101.384	490.151
43424.45842	1.025	106.159	513.066
43424.45843	1.611	102.209	389.741
43424.45844	1.491	71.137	367.97
43424.45845	1.579	79.943	398.07
43424.45847	3.044	105.313	523.326
43424.45848	1.033	100.38	431.303
43424.46879	4.288	72.724	351.648
43424.4688	6.219	92.43	420.693
43424.46881	5.456	91.446	396.906
43424.46883	3.926	87.614	405.193
43424.46884	2.035	90.253	399.844
43424.46885	4.198	72.757	358.389
43424.46886	5.047	75.005	379.211
43424.46887	9.005	94.318	457.69
43424.46888	9.838	76.936	399.202
43424.46889	6.353	69.712	327.967
43424.47921	1.298	76.636	378.506
43424.47922	1.186	85.799	408.957
43424.47923	1.482	77.754	401.452
43424.47924	3.123	75.253	368.654
43424.47925	1.834	79.798	396.09
43424.47926	1.49	69.781	344.796
43424.47928	1.329	80.337	346.697
43424.47929	1.337	45.118	219.582
43424.4793	1.794	55.673	264.74
43424.47931	1.554	46.366	234.536
43424.48962	1.281	41.061	208.507
43424.48964	2.002	42.734	215.139
43424.48965	1.273	39.898	196.006
43424.48966	1.017	38.23	197.158
43424.48967	1.593	43.891	217.763
43424.48968	1.802	47.5	234.477
43424.48969	1.137	53.157	266.763
43424.4897	1.033	48.251	239.139
43424.48972	1.185	48.957	235.327
43424.48973	1.441	47.496	240.232
43424.50004	1.305	47.259	239.999
43424.50005	1.153	41.979	215.622
43424.50006	1.089	41.262	210.038
43424.50008	0.969	40.643	186.28
43424.50009	1.233	81.203	375.377
43424.5001	1.241	70.584	350.141
43424.50011	2.226	67.022	321.521
43424.50012	1.001	72.637	339.734
43424.50013	1.305	74.576	370.313
43424.50014	1.057	76.549	371.539
43424.51046	1.305	73.237	361.734
43424.51047	1.793	57.666	272.18
43424.51048	1.681	66.336	328.194
